4303504883930,2020-01-11 10:29:38,2,2020-01-11 10:29:39,2020-01-11 10:35:47,610200,510000,510100,610001,2020-01-11 21:33:57,2020-01-11 22:07:12,2020-01-11 22:07:12,630001,2020-01-12 09:57:29,2020-01-12 10:05:29,2020-01-12 10:05:29,2020-01-12 10:05:29,630001,630013,2020-01-12 14:53:44,630045,4488,500000,500100,2020-01-12 16:18:20,630045,4488,1,1,630045,500000,500100,0,1,2020-01-12 20:00:00
4303507501935,2020-01-11 09:13:03,9,2020-01-11 09:13:04,2020-01-11 11:14:08,300400,310000,310100,202144,2020-01-11 12:21:26,2020-01-11 12:21:26,,202491,2020-01-11 15:30:51,2020-01-11 15:33:05,2020-01-11 15:33:05,2020-01-11 15:33:05,202491,200200,2020-01-11 18:48:37,200200,2222,310000,310100,2020-01-11 19:16:20,200200,2222,1,1,,,,0,1,2020-01-11 20:00:00
4303513963846,2020-01-11 12:17:13,9,2020-01-11 12:17:13,2020-01-11 13:31:22,200509,310000,310100,200000,2020-01-11 18:51:31,2020-01-11 18:55:16,,200000,2020-01-11 18:51:31,2020-01-11 18:55:16,2020-01-11 18:55:16,2020-01-11 18:55:16,200000,201508,2020-01-12 08:27:53,201508,1004,310000,310100,2020-01-12 09:43:54,201508,1004,0,1,201508,310000,310100,0,0,
4303505167110,2020-01-11 08:14:00,2,2020-01-11 08:14:00,2020-01-11 11:15:09,200202,310000,310100,200000,2020-01-11 23:17:01,2020-01-11 23:21:44,2020-01-11 23:21:44,210000,2020-01-12 09:59:44,2020-01-12 11:14:57,2020-01-12 11:14:57,2020-01-12 11:14:57,210000,212816,2020-01-12 14:43:50,212816,6557,320000,320100,2020-01-12 17:10:59,212816,6557,1,1,,,,0,1,2020-01-12 20:00:00
4303519736007,2020-01-11 15:30:39,9,2020-01-11 15:30:40,2020-01-11 17:49:25,201422,310000,310100,200000,2020-01-11 23:33:08,2020-01-11 23:50:37,,200000,2020-01-11 23:33:08,2020-01-11 23:50:37,2020-01-11 23:50:37,2020-01-11 23:50:37,200000,201723,2020-01-12 10:06:37,201723,8022,310000,310100,2020-01-12 11:35:39,201723,8022,0,1,201723,310000,310100,0,0,
4303504669435,2020-01-11 07:43:07,2,2020-01-11 07:43:07,2020-01-11 10:36:42,201255,310000,310100,200000,2020-01-11 22:26:55,2020-01-11 22:39:24,2020-01-11 22:39:24,210000,2020-01-12 04:52:03,2020-01-12 05:20:21,2020-01-12 05:20:21,2020-01-12 05:20:21,210000,210113,2020-01-12 09:00:36,210113,2400,320000,320100,2020-01-12 12:36:01,210113,2400,1,1,210113,320000,320100,0,1,2020-01-12 20:00:00
4303505382782,2020-01-11 08:21:03,9,2020-01-11 08:21:04,2020-01-11 11:11:04,200202,310000,310100,202144,2020-01-11 12:41:36,2020-01-11 12:41:36,,202491,2020-01-11 15:30:37,2020-01-11 15:35:26,2020-01-11 15:35:26,2020-01-11 15:35:26,202491,201305,2020-01-11 19:05:54,201305,8883,310000,310100,2020-01-11 19:15:27,201305,8883,1,1,201305,310000,310100,0,1,2020-01-11 20:00:00
4303505287345,2020-01-11 08:17:38,9,2020-01-11 08:17:38,2020-01-11 11:22:26,200202,310000,310100,202144,2020-01-11 12:44:56,2020-01-11 12:44:56,,200000,2020-01-11 12:49:53,2020-01-11 12:49:53,2020-01-11 12:49:53,2020-01-11 12:49:53,200000,202129,2020-01-11 14:51:14,202129,6010,310000,310100,2020-01-11 16:55:56,202129,6010,1,1,202129,310000,310100,1,1,2020-01-11 20:00:00
4303509629989,2020-01-11 10:21:35,9,2020-01-11 10:21:36,2020-01-11 10:34:05,610200,510000,510100,610001,2020-01-11 12:13:18,2020-01-11 12:24:13,,610001,2020-01-11 12:13:18,2020-01-11 12:24:13,2020-01-11 12:24:13,2020-01-11 12:24:13,610001,610019,2020-01-11 15:29:09,584156,1314,510000,510100,2020-01-11 16:21:19,584156,1314,1,1,,,,1,1,2020-01-11 20:00:00
4303511564563,2020-01-11 14:49:33,9,2020-01-11 14:49:34,2020-01-11 17:50:04,201422,310000,310100,200000,2020-01-11 23:32:41,2020-01-11 23:46:27,,200000,2020-01-11 23:32:41,2020-01-11 23:46:27,2020-01-11 23:46:27,2020-01-11 23:46:27,200000,200031,2020-01-12 08:20:38,200031,2235,310000,310100,2020-01-12 10:13:47,200031,2235,1,1,200031,310000,310100,0,0,
